,Year,Program,Producers,Network
42,2015 (67th) [62],Unbreakable Kimmy Schmidt (Season 1),"Jeff Richmond, David Miner, Jack Burditt, Tina Fey and Robert Carlock, executive producers; Allison Silverman and Eric Gurian, co-executive producers; Dan Rubin and Lon Zimmet, supervising producers; Sam Means and Dara Schnapper, producers; Jerry Kupfer, produced by",Netflix
43,2016 (68th) [63],,,
44,2016 (68th) [63],Veep (Season 5),"David Mandel, Frank Rich, Julia Louis-Dreyfus, Lew Morton and Christopher Godsick, executive producers; Morgan Sackett, Sean Gray, Peter Huyck, Alex Gregory, Jim Margolis, Georgia Pritchett and Will Smith, co-executive producers; Chris Addison and Rachel Axler, supervising producers; David Hyman, produced by; Erik Kenward, Billy Kimball and Steve Koren, consulting producers",HBO
45,2016 (68th) [63],Black-ish (Season 2),"Kenya Barris, Jonathan Groff, Anthony Anderson, E. Brian Dobbins, Laurence Fishburne and Helen Sugland, executive producers; Gail Lerner, Vijal Patel, Corey Nickerson and Courtney Lilly, co-executive producers; Lindsey Shockley, Peter Saji, Jenifer Rice-Genzuk Henry and Hale Rothstein, supervising producers; Michael Petok, produced by",ABC
46,2016 (68th) [63],Master of None (Season 1),"Aziz Ansari, Alan Yang, Michael Schur, David Miner and Dave Becky, executive producers; Harris Wittels, co-executive producer; Igor Srubshchik, produced by",Netflix
47,2016 (68th) [63],Modern Family (Season 7),"Steven Levitan, Christopher Lloyd, Paul Corrigan, Brad Walsh, Danny Zuker, Abraham Higginbotham, Jeffrey Richman, Elaine Ko, Stephen Lloyd and Jeff Morton, executive producers; Vali Chandrasekaran, Chuck Tatham, Andy Gordon, Jon Pollack and Vanessa McCarthy, co-executive producers; Chris Smirnoff and Sally Young, producers",ABC
48,2016 (68th) [63],Silicon Valley (Season 3),"Mike Judge, Alec Berg, Michael Rotenberg and Tom Lassally, executive producers; Clay Tarver, Dan O'Keefe, Ron Weiner, John Levenstein and Jim Kleverweis, co-executive producers; Carrie Kemper, supervising producer; Adam Countee, producer",HBO
49,2016 (68th) [63],Transparent (Season 2),"Joey Soloway (as Jill Soloway) and Andrea Sperling, executive producers; Victor Hsu and Bridget Bedard, co-executive producers; Noah Harpster and Micah Fitzerman-Blue, producers; Rick Rosenthal, consulting producer",Amazon
50,2016 (68th) [63],Unbreakable Kimmy Schmidt (Season 2),"Robert Carlock, Tina Fey, Jeff Richmond and David Miner, executive producers; Allison Silverman, Josh Siegal, Dylan Morgan and Eric Gurian, co-executive producers; Sam Means, Dan Rubin and Leila Strachan, supervising producers; Dara Schnapper, producer; Jerry Kupfer, produced by",Netflix
51,2017 (69th) [64],,,
52,2017 (69th) [64],Veep (Season 6),"David Mandel, Frank Rich, Julia Louis-Dreyfus, Lew Morton and Morgan Sackett, executive producers; Peter Huyck, Alex Gregory, Georgia Pritchett, Jennifer Crittenden, Gabrielle Allan, Ian Maxtone-Graham, Steve Hely, Ted Cohen and David Hyman, co-executive producers; Rachel Axler and Billy Kimball, supervising producers; Dale Stern, producer; Erik Kenward and Dan Mintz, consulting producers",HBO
53,2017 (69th) [64],Atlanta (Season 1),"Donald Glover, Paul Simms and Dianne McGunigle, executive producers; Hiro Murai, producer; Alex Orr, produced by",FX
54,2017 (69th) [64],Black-ish (Season 3),"Jonathan Groff, Kenya Barris, Anthony Anderson, Laurence Fishburne, Helen Sugland, E. Brian Dobbins and Corey Nickerson, executive producers; Gail Lerner, Courtney Lilly, Jenifer Rice-Genzuk Henry, Hale Rothstein, Kenny Smith, Laura Gutin Peterson, Vijal Patel, Emily Halpern and Sarah Haskins, co-executive producers; Lindsey Shockley and Peter Saji, supervising producers; Michael Petok, produced by",ABC
55,2017 (69th) [64],Master of None (Season 2),"Aziz Ansari, Alan Yang, Michael Schur, David Miner, Dave Becky and Igor Srubshchik, executive producers; Andy Blitz, co-executive producer; Eric Wareheim, supervising producer",Netflix
56,2017 (69th) [64],Modern Family (Season 8),"Christopher Lloyd, Steven Levitan, Paul Corrigan, Brad Walsh, Danny Zuker, Abraham Higginbotham, Jeffrey Richman, Elaine Ko, Stephen Lloyd, Vali Chandrasekaran, Chuck Tatham and Jeff Morton, executive producers; Andy Gordon and Jon Pollack, co-executive producers; Sally Young, producer; Christy Stratton, consulting producer",ABC
57,2017 (69th) [64],Silicon Valley (Season 4),"Mike Judge, Alec Berg, Michael Rotenberg and Tom Lassally, executive producers; Clay Tarver, Dan O'Keefe, Chris Provenzano, Graham Wagner, Jamie Babbit and Jim Kleverweis, co-executive producers; Carrie Kemper, Adam Countee and Aaron Zelman, supervising producers",HBO
58,2017 (69th) [64],Unbreakable Kimmy Schmidt (Season 3),"Robert Carlock, Tina Fey, Jeff Richmond and David Miner, executive producers; Sam Means, Dan Rubin, Allison Silverman, Leila Strachan and Eric Gurian, co-executive producers; Meredith Scardino and Dara Schnapper, producers; Jerry Kupfer, produced by",Netflix
59,2018 (70th) [65],,,
60,2018 (70th) [65],The Marvelous Mrs. Maisel (Season 1),"Amy Sherman-Palladino and Daniel Palladino, executive producers; Sheila Lawrence, co-executive producer; Dhana Rivera Gilbert, produced by",Prime Video
61,2018 (70th) [65],Atlanta (Season 2),"Donald Glover, Paul Simms, Dianne McGunigle and Stephen Glover, executive producers; Hiro Murai, co-executive producer; Stefani Robinson, producer; Alex Orr, produced by",FX
62,2018 (70th) [65],Barry (Season 1),"Alec Berg and Bill Hader, executive producers; Emily Heller, producer; Aida Rodgers, produced by; Elizabeth Sarnoff, consulting producer",HBO
63,2018 (70th) [65],Black-ish (Season 4),"Kenya Barris, Anthony Anderson, Laurence Fishburne, Helen Sugland, E. Brian Dobbins, Jonathan Groff, Corey Nickerson and Stacy Traub, executive producers; Gail Lerner, Courtney Lilly, Jenifer Rice-Genzuk Henry, Laura Gutin-Peterson, Lindsey Shockley, Peter Saji and Sam Laybourne, co-executive producers; Christian Lander, supervising producer; Michael Petok, produced by",ABC
64,2018 (70th) [65],Curb Your Enthusiasm (Season 9),"Larry David, Jeff Garlin and Jeff Schaffer, executive producers; Justin Hurwitz, supervising producer; Jon Hayman and Laura Streicher, producers; Mychelle Deschamps, produced by",HBO
65,2018 (70th) [65],GLOW (Season 1),"Jenji Kohan, Liz Flahive, Carly Mensch and Tara Herrmann, executive producers; Mark A. Burley, co-executive producer; Nick Jones, supervising producer; Sascha Rothchild, producer; Leanne Moore, produced by",Netflix
66,2018 (70th) [65],Silicon Valley (Season 5),"Mike Judge, Alec Berg, Clay Tarver, Jim Kleverweis and Jamie Babbit, executive producers; Anthony King, Graham Wagner and Ron Weiner, co-executive producers",HBO
67,2018 (70th) [65],Unbreakable Kimmy Schmidt (Season 4),"Tina Fey, Robert Carlock, Jeff Richmond, David Miner and Sam Means, executive producers; Dan Rubin, Leila Strachan, Eric Gurian and Meredith Scardino, co-executive producers; Jerry Kupfer, produced by",Netflix
68,2019 (71st) [66],,,
69,2019 (71st) [66],Fleabag (Season 2),"Phoebe Waller-Bridge, Harry Bradbeer, Lydia Hampson, Harry Williams, Jack Williams and Joe Lewis, executive producers; Sarah Hammond, producer",Prime Video
70,2019 (71st) [66],Barry (Season 2),"Alec Berg and Bill Hader, executive producers; Aida Rodgers, co-executive producer; Emily Heller, supervising producer; Julie Camino and Jason Kim, producers; Elizabeth Sarnoff, consulting producer",HBO
71,2019 (71st) [66],The Good Place (Season 3),"Michael Schur, David Miner, Morgan Sackett and Drew Goddard, executive producers; Dylan Morgan, Josh Siegal, Joe Mande and Megan Amram, co-executive producers; Jen Statsky, supervising producer; David Hyman, produced by; Matt Murray, consulting producer",NBC
72,2019 (71st) [66],The Marvelous Mrs. Maisel (Season 2),"Amy Sherman-Palladino and Daniel Palladino, executive producers; Dhana Rivera Gilbert, co-executive producer; Sheila Lawrence, producer",Prime Video
73,2019 (71st) [66],Russian Doll (Season 1),"Natasha Lyonne, Leslye Headland, Amy Poehler, Dave Becky, Tony Hernandez, Lilly Burns and Allison Silverman, executive producers; Kate Arend and John Skidmore, producers; Ryan McCormick, produced by",Netflix
74,2019 (71st) [66],Schitt's Creek (Season 5),"Eugene Levy, Daniel Levy, David West Read, Andrew Barnsley, Fred Levy and Ben Feigin, executive producers; Michael Short and Rupinder Gill, co-executive producers; Colin Brunton, producer",Pop TV
75,2019 (71st) [66],Veep (Season 7),"David Mandel, Frank Rich, Julia Louis-Dreyfus, Lew Morton, Morgan Sackett, Peter Huyck and Alex Gregory, executive producers; Jennifer Crittenden, Gabrielle Allan, Billy Kimball, Rachel Axler, Ted Cohen, Ian Maxtone-Graham, Dan O'Keefe, Steve Hely and David Hyman, co-executive producers; Georgia Pritchett, supervising producer; Doug Smith, producer; Erik Kenward and Dan Mintz, consulting producers",HBO
0,2020 (72nd) [67],,,
1,2020 (72nd) [67],Schitt's Creek (Season 6),"Eugene Levy, Dan Levy, Andrew Barnsley, Fred Levy, David West Read and Ben Feigin, executive producers; Michael Short and Kurt Smeaton, co-executive producers; Kosta Orfanidis, producer",Pop TV
2,2020 (72nd) [67],Curb Your Enthusiasm (Season 10),"Larry David, Jeff Garlin, Jeff Schaffer and Gavin Polone, executive producers; Laura Streicher, producer; Mychelle Deschamps, produced by",HBO
3,2020 (72nd) [67],Dead to Me (Season 2),"Liz Feldman, Will Ferrell, Adam McKay, Jessica Elbaum, Christina Applegate and Christie Smith, executive producers; Linda Cardellini, Cara DiPaolo, Jessi Klein, Elizabeth Benjamin, Dan Dietz and Joe Hardesty, co-executive producers; Buddy Enright and Denise Pleune, producers",Netflix
4,2020 (72nd) [67],The Good Place (Season 4),"Michael Schur, David Miner, Morgan Sackett and Drew Goddard, executive producers; Dylan Morgan, Josh Siegal, Joe Mande, Megan Amram, Jen Statsky and Dave King, co-executive producers; David Hyman, produced by; Matt Murray and Aisha Muharrar, consulting producers",NBC
5,2020 (72nd) [67],Insecure (Season 4),"Issa Rae, Prentice Penny, Melina Matsoukas, Dave Becky, Jonathan Berry, Amy Aniobi and Jim Kleverweis, executive producers; Phil Augusta Jackson and Laura Kittrell, co-executive producers; Deniese Davis and Natasha Rothwell, supervising producers",HBO
6,2020 (72nd) [67],The Kominsky Method (Season 2),"Chuck Lorre, Alan J. Higgins and Michael Douglas, executive producers; Andy Tennant and Beth McCarthy-Miller, producers; Marlis Pujol, produced by",Netflix
7,2020 (72nd) [67],The Marvelous Mrs. Maisel (Season 3),"Amy Sherman-Palladino and Daniel Palladino, executive producers; Dhana Rivera Gilbert, co-executive producer; Matthew Shapiro, Daniel Goldfarb, Kate Fodor and Sono Patel, producers",Prime Video
8,2020 (72nd) [67],What We Do in the Shadows (Season 2),"Jemaine Clement, Taika Waititi, Paul Simms, Scott Rudin, Garrett Basch, Eli Bush and Stefani Robinson, executive producers; Sam Johnson, co-executive producer; Derek S. Rappaport, produced by; Marika Sawyer, consulting producer",FX
9,2021 (73rd) [68],,,
10,2021 (73rd) [68],Ted Lasso (Season 1),"Bill Lawrence, Jason Sudeikis, Jeff Ingold, and Bill Wrubel, executive producers; Liza Katzer, co-executive producer; Jane Becker, Jamie Lee, and Kip Kroeger, supervising producers; Brendan Hunt, producer; Tina Pawlik, produced by; Joe Kelly, consulting producer",Apple TV+
11,2021 (73rd) [68],Black-ish (Season 7),"Kenya Barris, Anthony Anderson, Laurence Fishburne, Helen Sugland, E. Brian Dobbins, Michael Petok, Courtney Lilly, and Laura Gutin Peterson, executive producers; Christian Lander, Lisa Muse Bryant, Robb Chavis, and Eric Horsted, co-executive producers; Steven White and Marquita J. Robinson, supervising producers; Tracee Ellis Ross, Jamie Nelsen, and Tom Ragazzo, producers; Heidi G. McGowen, produced by",ABC
12,2021 (73rd) [68],Cobra Kai (Season 3),"Hayden Schlossberg, Jon Hurwitz, Josh Heald, Caleeb Pinkett, Susan Ekins, James Lassiter, and Will Smith, executive producers; Ralph Macchio and William Zabka, co-executive producers; Luan Thomas, Joe Piarulli, and Michael Jonathan Smith, supervising producers; Stacey Harman and Bob Dearden, producers; Bob Wilson, produced by",Netflix
13,2021 (73rd) [68],Emily in Paris (Season 1),"Andrew Fleming, Tony Hernandez, Lilly Burns, and Darren Star, executive producers; Alison Brown, co-executive producer; Grant Sloss, supervising producer; Stephen Joel Brown, Shihan Fey, Jake Fuller, Lily Collins, and Raphaël Benoliel, producers",Netflix
14,2021 (73rd) [68],The Flight Attendant (Season 1),"Greg Berlanti, Kaley Cuoco, Steve Yockey, Meredith Lavender, Marcie Ulin, and Sarah Schechter, executive producers; Suzanne McCormack and Jess Meyer, co-executive producers; Jennifer Lence and Erika Kennair, producers; Raymond Quinlan, produced by",HBO Max
15,2021 (73rd) [68],Hacks (Season 1),"Jen Statsky, Paul W. Downs, Lucia Aniello, Michael Schur, David Miner, and Morgan Sackett, executive producers; Joanna Calo, Andrew Law, and David Hyman, co-executive producers; Joe Mande and Jessica Chaffin, consulting producers",HBO Max
16,2021 (73rd) [68],The Kominsky Method (Season 3),"Alan J. Higgins, Michael Douglas, and Chuck Lorre, executive producers; Marlis Pujol, co-executive producer; Andy Tennant, producer",Netflix
17,2021 (73rd) [68],PEN15 (Season 2),"Maya Erskine, Anna Konkle, Sam Zvibleman, Debbie Liebling, Vera Santamaria, Marc Provissiero, Brooke Pobjoy, Andy Samberg, Jorma Taccone, Akiva Schaffer, Becky Sloviter, Shelley Zimmerman, Brin Lukens, and Jordan Levin, executive producers; Don Dunn and Scott Levine, producers; Jeremy Reitz, produced by",Hulu
18,2022 (74th) [69],,,
19,2022 (74th) [69],Ted Lasso (Season 2),"Bill Lawrence, Jason Sudeikis, Brendan Hunt, Joe Kelly, Jeff Ingold and Bill Wrubel, executive producers; Jane Becker, Jamie Lee and Liza Katzer, co-executive producers; Kip Kroeger and Declan Lowney, supervising producers; Leann Bowen and Ashley Nicole Black, producers; Andrew Warren, produced by",Apple TV+
20,2022 (74th) [69],Abbott Elementary (Season 1),"Quinta Brunson, Justin Halpern, Patrick Schumacker and Randall Einhorn, executive producers; Brian Rubenstein, co-executive producer; Scott Sites and Jordan Temple, producers",ABC
21,2022 (74th) [69],Barry (Season 3),"Alec Berg, Bill Hader, Aida Rodgers and Liz Sarnoff, executive producers; Emily Heller and Jason Kim, supervising producers; Duffy Boudreau, producer; Julie Camino, produced by",HBO
22,2022 (74th) [69],Curb Your Enthusiasm (Season 11),"Larry David, Jeff Garlin and Jeff Schaffer, executive producers; Laura Streicher, co-executive producer; Jennifer Corey, produced by",HBO
23,2022 (74th) [69],Hacks (Season 2),"Jen Statsky, Lucia Aniello, Paul W. Downs, Michael Schur, David Miner and Morgan Sackett, executive producers; Joe Mande, Andrew Law and Aisha Muharrar, co-executive producers; Ashley Glazier and Samantha Riley, producers; Seth Edelstein, produced by; Jessica Chaffin, consulting producer",HBO Max
24,2022 (74th) [69],The Marvelous Mrs. Maisel (Season 4),"Daniel Palladino and Amy Sherman-Palladino, executive producers; Dhana Rivera Gilbert, co-executive producer; Daniel Goldfarb, supervising producer; Kate Fodor, Matthew Shapiro, Sal Carino and Nick Thomason, producers",Prime Video
25,2022 (74th) [69],Only Murders in the Building (Season 1),"Dan Fogelman, Jess Rosenthal, Jamie Babbit, Steve Martin, Martin Short, Selena Gomez and John Hoffman, executive producers; Kristin Newman and Kirker Butler, co-executive producers; Ben Smith, Matteo Borghese and Rob Turbovsky, supervising producers; Thembi L. Banks, producer; Jane Raab, produced by",Hulu
26,2022 (74th) [69],What We Do in the Shadows (Season 3),"Jemaine Clement, Taika Waititi, Paul Simms, Garrett Basch, Eli Bush and Stefani Robinson, executive producers; Sam Johnson, Yana Gorskaya, Kyle Newacheck and Marika Sawyer, co-executive producers; Ingrid Lageder, producer; Derek S. Rappaport, produced by",FX
