,Year,Actor,Role,Program,Episode Submissions,Network
58,2018 (70th) [9],Henry Winkler,Gene Cousineau,Barry,"""Chapter Four: Commit... to YOU""",HBO
59,2018 (70th) [9],Louie Anderson,Christine Baskets,Baskets,"""Thanksgiving""",FX
60,2018 (70th) [9],Alec Baldwin,Donald Trump,Saturday Night Live,"""Host: Donald Glover""",NBC
61,2018 (70th) [9],Tituss Burgess,Titus Andromedon,Unbreakable Kimmy Schmidt,"""Kimmy and the Beest!""",Netflix
62,2018 (70th) [9],Brian Tyree Henry,"Alfred ""Paper Boi"" Miles",Atlanta,"""Woods""",FX
63,2018 (70th) [9],Tony Shalhoub,Abe Weissman,The Marvelous Mrs. Maisel,"""Thank You and Good Night""",Amazon
64,2018 (70th) [9],Kenan Thompson,Various characters,Saturday Night Live,"""Host: John Mulaney""",NBC
65,2019 (71st) [10],,,,,
66,2019 (71st) [10],Tony Shalhoub,Abe Weissman,The Marvelous Mrs. Maisel,"""We're Going to the Catskills!""",Amazon
67,2019 (71st) [10],Alan Arkin,Norman Newlander,The Kominsky Method,"""Chapter Two: An Agent Grieves""",Netflix
68,2019 (71st) [10],Anthony Carrigan,NoHo Hank,Barry,"""Past = Present x Future Over Yesterday""",HBO
69,2019 (71st) [10],Tony Hale,Gary Walsh,Veep,"""Veep""",HBO
70,2019 (71st) [10],Stephen Root,Monroe Fuches,Barry,"""berkman > block""",HBO
71,2019 (71st) [10],Henry Winkler,Gene Cousineau,Barry,"""What?!""",HBO
0,2020 (72nd) [11],,,,,
1,2020 (72nd) [11],Dan Levy,David Rose,Schitt's Creek,"""Happy Ending""",Pop TV
2,2020 (72nd) [11],Mahershala Ali,Sheikh Ali Malik,Ramy,"""Little Omar""",Hulu
3,2020 (72nd) [11],Alan Arkin,Norman Newlander,The Kominsky Method,"""Chapter 14. A Secret Leaks, a Teacher Speaks""",Netflix
4,2020 (72nd) [11],Andre Braugher,Captain Ray Holt,Brooklyn Nine-Nine,"""Ransom""",NBC
5,2020 (72nd) [11],Sterling K. Brown,Reggie,The Marvelous Mrs. Maisel,"""Panty Pose""",Amazon
6,2020 (72nd) [11],William Jackson Harper,Chidi Anagonye,The Good Place,"""Whenever You're Ready""",NBC
7,2020 (72nd) [11],Tony Shalhoub,Abe Weissman,The Marvelous Mrs. Maisel,"""Marvelous Radio""",Amazon
8,2020 (72nd) [11],Kenan Thompson,Various characters,Saturday Night Live,"""At Home #2""",NBC
9,2021 (73rd) [12],,,,,
10,2021 (73rd) [12],Brett Goldstein,Roy Kent,Ted Lasso,"""All Apologies""",Apple TV+
11,2021 (73rd) [12],Carl Clemons-Hopkins,Marcus Vaughn,Hacks,"""New Eyes""",HBO Max
12,2021 (73rd) [12],Brendan Hunt,Coach Beard,Ted Lasso,"""Two Aces""",Apple TV+
13,2021 (73rd) [12],Nick Mohammed,Nathan Shelley,Ted Lasso,"""Make Rebecca Great Again""",Apple TV+
14,2021 (73rd) [12],Paul Reiser,Martin Schneider,The Kominsky Method,"""Chapter 18. You only give me your funny paper""",Netflix
15,2021 (73rd) [12],Jeremy Swift,Leslie Higgins,Ted Lasso,"""Biscuits""",Apple TV+
16,2021 (73rd) [12],Kenan Thompson,Various characters,Saturday Night Live,"""Host: Dave Chappelle""",NBC
17,2021 (73rd) [12],Bowen Yang,Various characters,Saturday Night Live,"""Host: Carey Mulligan""",NBC
18,2022 (74th),,,,,
19,2022 (74th),Brett Goldstein,Roy Kent,Ted Lasso,"""Rainbow""",Apple TV+
20,2022 (74th),Anthony Carrigan,NoHo Hank,Barry,"""forgiving jeff""",HBO
21,2022 (74th),Toheeb Jimoh,Sam Obisanya,Ted Lasso,"""Do the Right-est Thing""",Apple TV+
22,2022 (74th),Nick Mohammed,Nathan Shelley,Ted Lasso,"""Inverting the Pyramid of Success""",Apple TV+
23,2022 (74th),Tony Shalhoub,Abe Weissman,The Marvelous Mrs. Maisel,"""Everything Is Bellmore""",Prime Video
24,2022 (74th),Tyler James Williams,Gregory Eddie,Abbott Elementary,"""Work Family""",ABC
25,2022 (74th),Henry Winkler,Gene Cousineau,Barry,"""starting now""",HBO
26,2022 (74th),Bowen Yang,Various characters,Saturday Night Live,"""Host: Rami Malek""",NBC
