Year,Actor/Actress,Role,Titles,Episode Submissions,Network,Category,Result
2013,Lena Dunham,Hannah Horvath,Girls,"""Bad Friend""",HBO,Comedy,Not A Winner
2013,Edie Falco,Jackie Peyton,Nurse Jackie,"""Luck of the Drawing""",Showtime,Comedy,Not A Winner
2013,Tina Fey,Liz Lemon,30 Rock,"""Hogcock!"" + ""Last Lunch""",NBC,Comedy,Not A Winner
2013,Amy Poehler,Leslie Knope,Parks and Recreation,"""Emergency Response"" + ""Leslie and Ben""",NBC,Comedy,Not A Winner
2014,Julia Louis-Dreyfus,Selina Meyer,Veep,"""Crate""",HBO,Comedy,Winner
2014,Lena Dunham,Hannah Horvath,Girls,"""Beach House""",HBO,Comedy,Not A Winner
2014,Edie Falco,Jackie Peyton,Nurse Jackie,"""Super Greens""",Showtime,Comedy,Not A Winner
2014,Melissa McCarthy,Molly Flynn,Mike & Molly,"""Mind Over Molly""",CBS,Comedy,Not A Winner
2014,Amy Poehler,Leslie Knope,Parks and Recreation,"""Recall Vote""",NBC,Comedy,Not A Winner
2014,Taylor Schilling,Piper Chapman,Orange Is the New Black,"""The Chickening""",Netflix,Comedy,Not A Winner
2015,Julia Louis-Dreyfus,Selina Meyer,Veep,"""Election Night""",HBO,Comedy,Winner
2015,Edie Falco,Jackie Peyton,Nurse Jackie,"""I Say a Little Prayer""",Showtime,Comedy,Not A Winner
2015,Lisa Kudrow,Valerie Cherish,The Comeback,"""Valerie Is Taken Seriously""",HBO,Comedy,Not A Winner
2015,Amy Poehler,Leslie Knope,Parks and Recreation,"""One Last Ride""",NBC,Comedy,Not A Winner
2015,Amy Schumer,Various characters,Inside Amy Schumer,"""Cool With It""",Comedy Central,Comedy,Not A Winner
2015,Lily Tomlin,Frankie Bergstein,Grace and Frankie,"""The Vows""",Netflix,Comedy,Not A Winner
2016,Julia Louis-Dreyfus,Selina Meyer,Veep,"""Mother""",HBO,Comedy,Winner
2016,Ellie Kemper,Kimmy Schmidt,Unbreakable Kimmy Schmidt,"""Kimmy Goes to a Hotel!""",Netflix,Comedy,Not A Winner
2016,Laurie Metcalf,Dr. Jenna James,Getting On,"""Am I Still Me?""",HBO,Comedy,Not A Winner
2016,Tracee Ellis Ross,Dr. Rainbow Johnson,Black-ish,"""Sink or Swim""",ABC,Comedy,Not A Winner
2016,Amy Schumer,Various characters,Inside Amy Schumer,"""Welcome to the Gun Show""",Comedy Central,Comedy,Not A Winner
2016,Lily Tomlin,Frankie Bergstein,Grace and Frankie,"""The Test""",Netflix,Comedy,Not A Winner
2017,Julia Louis-Dreyfus,Selina Meyer,Veep,"""Groundbreaking""",HBO,Comedy,Winner
2017,Pamela Adlon,Sam Fox,Better Things,"""Future Fever""",FX,Comedy,Not A Winner
2017,Allison Janney,Bonnie Plunkett,Mom,"""Tush Push and Some Radishes""",CBS,Comedy,Not A Winner
2017,Ellie Kemper,Kimmy Schmidt,Unbreakable Kimmy Schmidt,"""Kimmy Goes to College!""",Netflix,Comedy,Not A Winner
2017,Jane Fonda,Grace Hanson,Grace and Frankie,"""The Pot""",Netflix,Comedy,Not A Winner
2017,Tracee Ellis Ross,Dr. Rainbow Johnson,Black-ish,"""Being Bow-racial""",ABC,Comedy,Not A Winner
2017,Lily Tomlin,Frankie Bergstein,Grace and Frankie,"""The Burglary""",Netflix,Comedy,Not A Winner
2018,Rachel Brosnahan,"Miriam ""Midge"" Maisel",The Marvelous Mrs. Maisel,"""Thank You and Good Night""",Amazon,Comedy,Winner
2018,Pamela Adlon,Sam Fox,Better Things,"""Eulogy""",FX,Comedy,Not A Winner
2018,Allison Janney,Bonnie Plunkett,Mom,"""Phone Confetti and a Wee Dingle""",CBS,Comedy,Not A Winner
2018,Issa Rae,Issa Dee,Insecure,"""Hella Great""",HBO,Comedy,Not A Winner
2018,Tracee Ellis Ross,Dr. Rainbow Johnson,Black-ish,"""Elder. Scam.""",ABC,Comedy,Not A Winner
2018,Lily Tomlin,Frankie Bergstein,Grace and Frankie,"""The Home""",Netflix,Comedy,Not A Winner
2019,Phoebe Waller-Bridge,Fleabag,Fleabag,"""Episode 1""",Amazon,Comedy,Winner
2019,Christina Applegate,Jen Harding,Dead to Me,"""I've Gotta Get Away""",Netflix,Comedy,Not A Winner
2019,Rachel Brosnahan,"Miriam ""Midge"" Maisel",The Marvelous Mrs. Maisel,"""Midnight at the Concord""",Amazon,Comedy,Not A Winner
2019,Julia Louis-Dreyfus,Selina Meyer,Veep,"""Veep""",HBO,Comedy,Not A Winner
2019,Natasha Lyonne,Nadia Vulvokov,Russian Doll,"""Nothing in This World Is Easy""",Netflix,Comedy,Not A Winner
2019,Catherine O'Hara,Moira Rose,Schitt's Creek,"""The Crowening""",Pop TV,Comedy,Not A Winner
2020,Catherine O'Hara,Moira Rose,Schitt's Creek,"""The Incident""",Pop TV,Comedy,Winner
2020,Christina Applegate,Jen Harding,Dead to Me,"""It's Not You, It's Me""",Netflix,Comedy,Not A Winner
2020,Rachel Brosnahan,"Miriam ""Midge"" Maisel",The Marvelous Mrs. Maisel,"""A Jewish Girl Walks Into the Apollo...""",Amazon,Comedy,Not A Winner
2020,Linda Cardellini,Judy Hale,Dead to Me,"""If Only You Knew""",Netflix,Comedy,Not A Winner
2020,Issa Rae,Issa Dee,Insecure,"""Lowkey Happy""",HBO,Comedy,Not A Winner
2020,Tracee Ellis Ross,Dr. Rainbow Johnson,Black-ish,"""Kid Life Crisis""",ABC,Comedy,Not A Winner
2021,Jean Smart,Deborah Vance,Hacks,"""1.69 Million""",HBO Max,Comedy,Winner
2021,Aidy Bryant,Annie Easton,Shrill,"""Ranchers""",Hulu,Comedy,Not A Winner
2021,Kaley Cuoco,Cassie Bowden,The Flight Attendant,"""In Case of Emergency""",HBO Max,Comedy,Not A Winner
2021,Allison Janney,Bonnie Plunkett,Mom,"""My Kinda People and the Big To-Do""",CBS,Comedy,Not A Winner
2021,Tracee Ellis Ross,Dr. Rainbow Johnson,Black-ish,"""Babes in Boyland""",ABC,Comedy,Not A Winner
2022,Jean Smart,Deborah Vance,Hacks,"""The Click""",HBO Max,Comedy,Winner
2022,Rachel Brosnahan,"Miriam ""Midge"" Maisel",The Marvelous Mrs. Maisel,"""How Do You Get to Carnegie Hall?""",Prime Video,Comedy,Not A Winner
2022,Quinta Brunson,Janine Teagues,Abbott Elementary,"""Pilot""",ABC,Comedy,Not A Winner
2022,Kaley Cuoco,Cassie Bowden,The Flight Attendant,"""Drowning Women""",HBO Max,Comedy,Not A Winner
2022,Elle Fanning,Catherine the Great,The Great,"""Alone at Last""",Hulu,Comedy,Not A Winner
2022,Issa Rae,Issa Dee,Insecure,"""Reunited, Okay?!""",HBO,Comedy,Not A Winner
2010,Bryan Cranston,Walter White,Breaking Bad,"""Full Measure""",AMC,Drama,Winner
2010,Kyle Chandler,Eric Taylor,Friday Night Lights,"""East of Dillon""",DirecTV,Drama,Not A Winner
2010,Matthew Fox,Jack Shephard,Lost,"""The End""",ABC,Drama,Not A Winner
2010,Michael C. Hall,Dexter Morgan,Dexter,"""The Getaway""",Showtime,Drama,Not A Winner
2010,Jon Hamm,Don Draper,Mad Men,"""The Gypsy and the Hobo""",AMC,Drama,Not A Winner
2010,Hugh Laurie,Gregory House,House,"""Broken""",Fox,Drama,Not A Winner
2011,Kyle Chandler,Eric Taylor,Friday Night Lights,"""Always""",DirecTV,Drama,Winner
2011,Steve Buscemi,Nucky Thompson,Boardwalk Empire,"""A Return to Normalcy""",HBO,Drama,Not A Winner
2011,Michael C. Hall,Dexter Morgan,Dexter,"""Teenage Wasteland""",Showtime,Drama,Not A Winner
2011,Jon Hamm,Don Draper,Mad Men,"""The Suitcase""",AMC,Drama,Not A Winner
2011,Hugh Laurie,Gregory House,House,"""After Hours""",Fox,Drama,Not A Winner
2011,Timothy Olyphant,Raylan Givens,Justified,"""Reckoning""",FX,Drama,Not A Winner
2012,Damian Lewis,Nicholas Brody,Homeland,"""Marine One""",Showtime,Drama,Winner
2012,Steve Buscemi,Nucky Thompson,Boardwalk Empire,"""Two Boats and a Lifeguard""",HBO,Drama,Not A Winner
2012,Hugh Bonneville,Robert Crawley,Downton Abbey,"""Episode Seven""",PBS,Drama,Not A Winner
2012,Bryan Cranston,Walter White,Breaking Bad,"""Crawl Space""",AMC,Drama,Not A Winner
2012,Michael C. Hall,Dexter Morgan,Dexter,"""Nebraska""",Showtime,Drama,Not A Winner
2012,Jon Hamm,Don Draper,Mad Men,"""The Other Woman""",AMC,Drama,Not A Winner
2013,Jeff Daniels,Will McAvoy,The Newsroom,"""We Just Decided To""",HBO,Drama,Winner
2013,Hugh Bonneville,Robert Crawley,Downton Abbey,"""Episode Five""",PBS,Drama,Not A Winner
2013,Bryan Cranston,Walter White,Breaking Bad,"""Say My Name""",AMC,Drama,Not A Winner
2013,Jon Hamm,Don Draper,Mad Men,"""In Care Of""",AMC,Drama,Not A Winner
2013,Damian Lewis,Nicholas Brody,Homeland,"""Q&A""",Showtime,Drama,Not A Winner
2013,Kevin Spacey,Frank Underwood,House of Cards,"""Chapter 1""",Netflix,Drama,Not A Winner
2014,Bryan Cranston,Walter White,Breaking Bad,"""Ozymandias""",AMC,Drama,Winner
2014,Woody Harrelson,Martin Hart,True Detective,"""The Locked Room""",HBO,Drama,Not A Winner
2014,Matthew McConaughey,Rust Cohle,True Detective,"""Form and Void""",HBO,Drama,Not A Winner
2014,Jeff Daniels,Will McAvoy,The Newsroom,"""Election Night, Part II""",HBO,Drama,Not A Winner
2014,Jon Hamm,Don Draper,Mad Men,"""The Strategy""",AMC,Drama,Not A Winner
2014,Kevin Spacey,Frank Underwood,House of Cards,"""Chapter 26""",Netflix,Drama,Not A Winner
2015,Jon Hamm,Don Draper,Mad Men,"""Person to Person""",AMC,Drama,Winner
2015,Kyle Chandler,John Rayburn,Bloodline,"""Part 12""",Netflix,Drama,Not A Winner
2015,Jeff Daniels,Will McAvoy,The Newsroom,"""What Kind of Day Has It Been""",HBO,Drama,Not A Winner
2015,Bob Odenkirk,Jimmy McGill,Better Call Saul,"""Pimento""",AMC,Drama,Not A Winner
2015,Liev Schreiber,Ray Donovan,Ray Donovan,"""Walk This Way""",Showtime,Drama,Not A Winner
2015,Kevin Spacey,Frank Underwood,House of Cards,"""Chapter 32""",Netflix,Drama,Not A Winner
2016,Rami Malek,Elliot Alderson,Mr. Robot,"""eps1.0 hellofriend.mov""",USA,Drama,Winner
2016,Kyle Chandler,John Rayburn,Bloodline,"""Part 23""",Netflix,Drama,Not A Winner
2016,Bob Odenkirk,Jimmy McGill,Better Call Saul,"""Klick""",AMC,Drama,Not A Winner
2016,Liev Schreiber,Ray Donovan,Ray Donovan,"""Exsuscito""",Showtime,Drama,Not A Winner
2016,Kevin Spacey,Frank Underwood,House of Cards,"""Chapter 52""",Netflix,Drama,Not A Winner
2016,Matthew Rhys,Philip Jennings,The Americans,"""The Magic of David Copperfield V: The Statue of Liberty Disappears""",FX,Drama,Not A Winner
2017,Sterling K. Brown,Randall Pearson,This Is Us,"""Memphis""",NBC,Drama,Winner
2017,Milo Ventimiglia,Jack Pearson,This Is Us,"""Moonshadow""",NBC,Drama,Not A Winner
2017,Anthony Hopkins,Dr. Robert Ford,Westworld,"""The Bicameral Mind""",HBO,Drama,Not A Winner
2017,Bob Odenkirk,Jimmy McGill,Better Call Saul,"""Expenses""",AMC,Drama,Not A Winner
2017,Matthew Rhys,Philip Jennings,The Americans,"""Crossbreed""",FX,Drama,Not A Winner
2017,Liev Schreiber,Ray Donovan,Ray Donovan,"""Rattus Rattus""",Showtime,Drama,Not A Winner
2017,Kevin Spacey,Frank Underwood,House of Cards,"""Chapter 53""",Netflix,Drama,Not A Winner
2018,Matthew Rhys,Philip Jennings,The Americans,"""START""",FX,Drama,Winner
2018,Ed Harris,The Man in Black / William,Westworld,"""Vanishing Point""",HBO,Drama,Not A Winner
2018,Jeffrey Wright,Bernard Lowe,Westworld,"""The Passenger""",HBO,Drama,Not A Winner
2018,Sterling K. Brown,Randall Pearson,This Is Us,"""Number Three""",NBC,Drama,Not A Winner
2018,Milo Ventimiglia,Jack Pearson,This Is Us,"""The Car""",NBC,Drama,Not A Winner
2018,Jason Bateman,"Martin ""Marty"" Byrde",Ozark,"""The Toll""",Netflix,Drama,Not A Winner
2019,Billy Porter,Pray Tell,Pose,"""Love Is the Message""",FX,Drama,Winner
2019,Sterling K. Brown,Randall Pearson,This Is Us,"""R & B""",NBC,Drama,Not A Winner
2019,Milo Ventimiglia,Jack Pearson,This Is Us,"""Sometimes""",NBC,Drama,Not A Winner
2019,Kit Harington,Jon Snow,Game of Thrones,"""The Iron Throne""",HBO,Drama,Not A Winner
2019,Bob Odenkirk,Jimmy McGill,Better Call Saul,"""Winner""",AMC,Drama,Not A Winner
2019,Jason Bateman,"Martin ""Marty"" Byrde",Ozark,"""Reparations""",Netflix,Drama,Not A Winner
2020,Jeremy Strong,Kendall Roy,Succession,"""This Is Not for Tears""",HBO,Drama,Winner
2020,Jason Bateman,Marty Byrde,Ozark,"""Su Casa Es Mi Casa""",Netflix,Drama,Not A Winner
2020,Sterling K. Brown,Randall Pearson,This Is Us,"""After the Fire""",NBC,Drama,Not A Winner
2020,Steve Carell,Mitch Kessler,The Morning Show,"""Lonely at the Top""",Apple TV+,Drama,Not A Winner
2020,Brian Cox,Logan Roy,Succession,"""Hunting""",HBO,Drama,Not A Winner
2020,Billy Porter,Pray Tell,Pose,"""Love's in Need of Love Today""",FX,Drama,Not A Winner
2021,Josh O'Connor,"Charles, Prince of Wales",The Crown,"""Terra Nullius""",Netflix,Drama,Winner
2021,Sterling K. Brown,Randall Pearson,This Is Us,"""Forty: Part 2""",NBC,Drama,Not A Winner
2021,Jonathan Majors,Atticus Freeman,Lovecraft Country,"""Sundown""",HBO,Drama,Not A Winner
2021,Matthew Rhys,Perry Mason,Perry Mason,"""Chapter 8""",HBO,Drama,Not A Winner
2021,Regé-Jean Page,Simon Bassett,Bridgerton,"""Art of the Swoon""",Netflix,Drama,Not A Winner
2021,Billy Porter,Pray Tell,Pose,"""Take Me To Church""",FX,Drama,Not A Winner
2022,Lee Jung-jae,Seong Gi-hun,Squid Game,"""Gganbu""",Netflix,Drama,Winner
2022,Jason Bateman,Marty Byrde,Ozark,"""Pound of Flesh and Still Kickin’""",Netflix,Drama,Not A Winner
2022,Brian Cox,Logan Roy,Succession,"""All the Bells Say""",HBO,Drama,Not A Winner
2022,Bob Odenkirk,Jimmy McGill / Saul Goodman,Better Call Saul,"""Plan and Execution""",AMC,Drama,Not A Winner
2022,Adam Scott,Mark Scout,Severance,"""Good News About Hell""",Apple TV+,Drama,Not A Winner
2022,Jeremy Strong,Kendall Roy,Succession,"""Too Much Birthday""",HBO,Drama,Not A Winner
2010,Kyra Sedgwick,Brenda Leigh Johnson,The Closer,"""Maternal Instincts""",TNT,Drama,Winner
2010,Connie Britton,Tami Taylor,Friday Night Lights,"""After the Fall""",DirecTV,Drama,Not A Winner
2010,Glenn Close,Patty Hewes,Damages,"""Your Secrets Are Safe""",FX,Drama,Not A Winner
2010,Mariska Hargitay,Olivia Benson,Law & Order: Special Victims Unit,"""Perverted""",NBC,Drama,Not A Winner
2010,January Jones,Betty Draper,Mad Men,"""The Gypsy and the Hobo""",AMC,Drama,Not A Winner
2010,Julianna Margulies,Alicia Florrick,The Good Wife,"""Threesome""",CBS,Drama,Not A Winner
2011,Julianna Margulies,Alicia Florrick,The Good Wife,"""In Sickness""",CBS,Drama,Winner
2011,Kathy Bates,Harriet Korn,Harry's Law,"""Innocent Man""",NBC,Drama,Not A Winner
2011,Connie Britton,Tami Taylor,Friday Night Lights,"""Always""",DirecTV,Drama,Not A Winner
2011,Mireille Enos,Sarah Linden,The Killing,"""Missing""",AMC,Drama,Not A Winner
2011,Mariska Hargitay,Olivia Benson,Law & Order: Special Victims Unit,"""Rescue""",NBC,Drama,Not A Winner
2011,Elisabeth Moss,Peggy Olson,Mad Men,"""The Suitcase""",AMC,Drama,Not A Winner
2012,Claire Danes,Carrie Mathison,Homeland,"""The Vest""",Showtime,Drama,Winner
2012,Kathy Bates,Harriet Korn,Harry's Law,"""Onward and Upward""",NBC,Drama,Not A Winner
2012,Glenn Close,Patty Hewes,Damages,"""I've Done Way Too Much for This Girl""",DirecTV,Drama,Not A Winner
2012,Michelle Dockery,Lady Mary Crawley,Downton Abbey,"""Episode Seven""",PBS,Drama,Not A Winner
2012,Julianna Margulies,Alicia Florrick,The Good Wife,"""Parenting Made Easy""",CBS,Drama,Not A Winner
2012,Elisabeth Moss,Peggy Olson,Mad Men,"""The Other Woman""",AMC,Drama,Not A Winner
2013,Claire Danes,Carrie Mathison,Homeland,"""Q&A""",Showtime,Drama,Winner
2013,Connie Britton,Rayna Jaymes,Nashville,"""Pilot""",ABC,Drama,Not A Winner
2013,Michelle Dockery,Lady Mary Crawley,Downton Abbey,"""Episode One""",PBS,Drama,Not A Winner
